"member_id","event_id","completed"
"9616","3","1"
"9617","1","1"
"9618","1","1"
"9619","2","1"
"9620","2","1"
"9646","3","1"
"9646","5","1"
"9646","7","1"
"9647","2","1"
"9647","6","1"
"9647","11","1"
"9648","1","1"
"9648","2","1"
"9648","6","1"
"9649","2","1"
"9649","9","1"
"9649","10","1"
"9650","3","1"
"9650","4","1"
"9650","8","1"
"9651","5","1"
"9651","6","1"
"9651","10","1"
"9652","1","1"
"9652","7","1"
"9652","10","1"
"9653","1","1"
"9653","5","1"
"9653","11","1"
"9654","6","1"
"9654","7","1"
"9654","11","1"
"9655","4","1"
"9655","8","1"
"9655","9","1"
